INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I172014232,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A7,34,,2/21/17 16:19,2017,2,Tuesday,16,Part Three,WEBSTER ST,42.36478915,-71.03234663,"(42.36478915, -71.03234663)"
I152059468,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A7,34,,7/18/15 19:34,2015,7,Saturday,19,Part Three,WEBSTER ST,42.36478915,-71.03234663,"(42.36478915, -71.03234663)"
I172102344,3805,Motor Vehicle Accident Response,M/V ACCIDENT - POLICE VEHICLE,A7,34,,12/10/17 12:57,2017,12,Sunday,12,Part Three,WEBSTER ST,42.36478915,-71.03234663,"(42.36478915, -71.03234663)"
I172011056,2610,Other,TRESPASSING,A7,34,,2/10/17 13:00,2017,2,Friday,13,Part Two,WEBSTER ST,42.36478915,-71.03234663,"(42.36478915, -71.03234663)"
I162037993,3109,Police Service Incidents,SERVICE TO OTHER PD INSIDE OF MA.,A7,34,,5/15/16 20:22,2016,5,Sunday,20,Part Three,WEBSTER ST,42.36478915,-71.03234663,"(42.36478915, -71.03234663)"
I172031919,3410,Towed,TOWED MOTOR VEHICLE,A7,34,,4/24/17 13:24,2017,4,Monday,13,Part Three,WEBSTER ST,42.36478915,-71.03234663,"(42.36478915, -71.03234663)"
I162067142,3410,Towed,TOWED MOTOR VEHICLE,C11,355,,8/19/16 11:36,2016,8,Friday,11,Part Three,WEBSTER ST,42.36478915,-71.03234663,"(42.36478915, -71.03234663)"
I162006544,3410,Towed,TOWED MOTOR VEHICLE,A7,34,,1/25/16 3:51,2016,1,Monday,3,Part Three,WEBSTER ST,42.36478915,-71.03234663,"(42.36478915, -71.03234663)"
I152066055,3410,Towed,TOWED MOTOR VEHICLE,A7,34,,8/10/15 9:27,2015,8,Monday,9,Part Three,WEBSTER ST,42.36478915,-71.03234663,"(42.36478915, -71.03234663)"
I172047731,1402,Vandalism,VANDALISM,A7,34,,6/15/17 8:23,2017,6,Thursday,8,Part Two,WEBSTER ST,42.36478915,-71.03234663,"(42.36478915, -71.03234663)"
I172006339,1402,Vandalism,VANDALISM,A7,34,,1/24/17 10:39,2017,1,Tuesday,10,Part Two,WEBSTER ST,42.36478915,-71.03234663,"(42.36478915, -71.03234663)"
I162039653,1402,Vandalism,VANDALISM,A7,34,,5/21/16 0:00,2016,5,Saturday,0,Part Two,WEBSTER ST,42.36478915,-71.03234663,"(42.36478915, -71.03234663)"
I162049119,3114,Investigate Property,INVESTIGATE PROPERTY,A7,33,,6/21/16 4:21,2016,6,Tuesday,4,Part Three,SUMNER ST,42.36481844,-71.03039653,"(42.36481844, -71.03039653)"
I162059711,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A7,33,,7/26/16 16:33,2016,7,Tuesday,16,Part Three,SUMNER ST,42.36481844,-71.03039653,"(42.36481844, -71.03039653)"
I152101364,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A7,33,,12/8/15 12:32,2015,12,Tuesday,12,Part Three,SUMNER ST,42.36481844,-71.03039653,"(42.36481844, -71.03039653)"
I162048035,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,A7,33,,6/17/16 8:15,2016,6,Friday,8,Part Three,SUMNER ST,42.36481844,-71.03039653,"(42.36481844, -71.03039653)"
I152065441,2647,Other,THREATS TO DO BODILY HARM,A7,33,,8/7/15 22:31,2015,8,Friday,22,Part Two,SUMNER ST,42.36481844,-71.03039653,"(42.36481844, -71.03039653)"
I162028547,521,Residential Burglary,BURGLARY - RESIDENTIAL - ATTEMPT,A7,33,,4/13/16 6:24,2016,4,Wednesday,6,Part One,SUMNER ST,42.36481844,-71.03039653,"(42.36481844, -71.03039653)"
I152089752,2006,Restraining Order Violations,VIOL. OF RESTRAINING ORDER W ARREST,A7,33,,10/29/15 17:03,2015,10,Thursday,17,Part Two,SUMNER ST,42.36481844,-71.03039653,"(42.36481844, -71.03039653)"
I162097373,361,Robbery,ROBBERY - OTHER,A7,33,,11/29/16 12:51,2016,11,Tuesday,12,Part One,SUMNER ST,42.36481844,-71.03039653,"(42.36481844, -71.03039653)"
I162097373,802,Simple Assault,ASSAULT SIMPLE - BATTERY,A7,33,,11/29/16 12:51,2016,11,Tuesday,12,Part Two,SUMNER ST,42.36481844,-71.03039653,"(42.36481844, -71.03039653)"
I162051056,801,Simple Assault,ASSAULT - SIMPLE,A7,33,,6/27/16 14:15,2016,6,Monday,14,Part Two,SUMNER ST,42.36481844,-71.03039653,"(42.36481844, -71.03039653)"
I162035105,802,Simple Assault,ASSAULT SIMPLE - BATTERY,A7,33,,5/4/16 20:15,2016,5,Wednesday,20,Part Two,SUMNER ST,42.36481844,-71.03039653,"(42.36481844, -71.03039653)"
I172037122,1402,Vandalism,VANDALISM,A7,33,,5/1/17 16:30,2017,5,Monday,16,Part Two,SUMNER ST,42.36481844,-71.03039653,"(42.36481844, -71.03039653)"
I172093589,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A7,34,,11/8/17 19:03,2017,11,Wednesday,19,Part Three,MCCORMACK SQ,42.3648253,-71.03077367,"(42.36482530, -71.03077367)"
I182010483,3503,Missing Person Located,MISSING PERSON - NOT REPORTED - LOCATED,A7,34,,2/8/18 9:15,2018,2,Thursday,9,Part Three,MCCORMACK SQ,42.3648253,-71.03077367,"(42.36482530, -71.03077367)"
I152069415,3106,Property Related Damage,PROPERTY - ACCIDENTAL DAMAGE,A7,34,,8/21/15 19:44,2015,8,Friday,19,Part Three,MCCORMACK SQ,42.3648253,-71.03077367,"(42.36482530, -71.03077367)"
I172085260,619,Larceny,LARCENY ALL OTHERS,A7,34,,10/12/17 15:12,2017,10,Thursday,15,Part One,BRIGHAM ST,42.36484388,-71.03425128,"(42.36484388, -71.03425128)"
I152070374,617,Larceny,LARCENY THEFT FROM BUILDING,A7,33,,7/15/15 0:00,2015,7,Wednesday,0,Part One,JEFFRIES ST,42.36486798,-71.02957895,"(42.36486798, -71.02957895)"
I152090778,3502,Missing Person Located,MISSING PERSON - LOCATED,A7,33,,11/2/15 0:15,2015,11,Monday,0,Part Three,JEFFRIES ST,42.36486798,-71.02957895,"(42.36486798, -71.02957895)"
I152090778,3501,Missing Person Reported,MISSING PERSON,A7,33,,11/2/15 0:15,2015,11,Monday,0,Part Three,JEFFRIES ST,42.36486798,-71.02957895,"(42.36486798, -71.02957895)"
I172053232,3108,Fire Related Reports,"FIRE REPORT - HOUSE, BUILDING, ETC.",A7,34,,7/2/17 10:41,2017,7,Sunday,10,Part Three,BRIGHAM ST,42.36506299,-71.03474337,"(42.36506299, -71.03474337)"
I162008260,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,A7,34,,1/31/16 10:27,2016,1,Sunday,10,Part Two,BRIGHAM ST,42.36506299,-71.03474337,"(42.36506299, -71.03474337)"
I172086315,3114,Investigate Property,INVESTIGATE PROPERTY,A7,34,,10/16/17 9:15,2017,10,Monday,9,Part Three,BRIGHAM ST,42.36506299,-71.03474337,"(42.36506299, -71.03474337)"
I162089049,1106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,A7,34,,10/25/16 10:00,2016,10,Tuesday,10,Part Two,WEBSTER ST,42.36508091,-71.0332669,"(42.36508091, -71.03326690)"
I182010185,3115,Investigate Person,INVESTIGATE PERSON,A7,34,,2/7/18 21:00,2018,2,Wednesday,21,Part Three,WEBSTER ST,42.36508091,-71.0332669,"(42.36508091, -71.03326690)"
I172023710,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A7,34,,3/27/17 10:23,2017,3,Monday,10,Part Three,WEBSTER ST,42.36508091,-71.0332669,"(42.36508091, -71.03326690)"
I172091292,1402,Vandalism,VANDALISM,A7,36,,10/31/17 18:15,2017,10,Tuesday,18,Part Two,TERMINAL A,42.36512913,-71.02195284,"(42.36512913, -71.02195284)"
I162027590,1806,Drug Violation,DRUGS - CLASS B TRAFFICKING OVER 18 GRAMS,A7,33,,4/9/16 20:26,2016,4,Saturday,20,Part Two,EVERETT ST,42.36517023,-71.02934347,"(42.36517023, -71.02934347)"
I152060297,1849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",A7,33,,7/21/15 0:00,2015,7,Tuesday,0,Part Two,EVERETT ST,42.36517023,-71.02934347,"(42.36517023, -71.02934347)"
